"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x309352520","x1059957975933042688",2018-11-06 23:57:29,"McastPop","Today, I would like to endorse some of the ballot measures in states across the country. 

California: Proposition 10
Florida: Amendment 4
Colorado: YES on Amendment 73 and Proposition 112 and NO on Amendment 74
Massachusetts: Question 1
Washington: Initiative 1631

Thread <U+0001F447> https://t.co/oi31t5asMP","Twitter for Android",,,,,TRUE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x216776631","BernieSanders","en","x1056648062540615681","Currently California cities and towns aren't permitted to pass rent control measures to address the affordable housing crisis. That should change. Municipalities should have the freedom to deal with the decline in affordable housing and rising rents. Let's pass Prop 10.",2018-10-28 20:45:04,"Twitter Web Client",1379,499,"x216776631","BernieSanders","Bernie Sanders",10071153,1438,16048,"Vermont","U.S. Senator from Vermont and candidate for President of the United States.",TRUE,"x1056670125909250053","Today, I would like to endorse some of the ballot measures in states across the country. 

California: Proposition 10
Florida: Amendment 4
Colorado: YES on Amendment 73 and Proposition 112 and NO on Amendment 74
Massachusetts: Question 1
Washington: Initiative 1631

Thread <U+0001F447> https://t.co/oi31t5asMP",2018-10-28 22:12:44,"Twitter Web Client",2640,845,"x216776631","BernieSanders","Bernie Sanders",10071153,1438,16048,"Vermont","U.S. Senator from Vermont and candidate for President of the United States.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/McastPop/status/1059957975933042688","Marlene Castañeda","Milky Way","Scribbler.Dabbler.Artistic. Not a perfect human with a soul. Partner to first love and motivator. #Doyourownresearch. Post/RT/<U+2764>, not always equal endorsements.","https://instagram.com/mcastpop",FALSE,27,101,4,3161,1515,2011-06-01 23:27:46,FALSE,,,,"https://pbs.twimg.com/profile_banners/309352520/1542042172","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/759295183166898176/h5MvUjh__normal.jpg"
"x942138860733124608","x1059956105202286592",2018-11-06 23:50:03,"cclpalmbeaches","If Initiative 1631 passes, ""Washington would immediately have one of the most aggressive #climate policies in the country,"" writes @yayitsrob. Our volunteers have been making thousands of calls to encourage WA voters to say #Yeson1631 today! #ElectionDay https://t.co/5Rzk0BKVT9","Twitter for iPhone",,,,,FALSE,TRUE,0,0,0,0,"climate",,,,,,,,,,,,,"x123231225","citizensclimate","en",,,,,,,,,,,,,,,,"x1059898335732088840","If Initiative 1631 passes, ""Washington would immediately have one of the most aggressive #climate policies in the country,"" writes @yayitsrob. Our volunteers have been making thousands of calls to encourage WA voters to say #Yeson1631 today! #ElectionDay https://t.co/5Rzk0BKVT9",2018-11-06 20:00:29,"Hootsuite Inc.",26,14,"x123231225","citizensclimate","CitizensClimateLobby",34841,16001,29732,"Nationwide","CCL is a nonpartisan, nonprofit, #GrassrootsClimate organization. Our volunteers lobby Congress for bipartisan climate solutions. Join your local chapter today!",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cclpalmbeaches/status/1059956105202286592","Citizens’ Climate Palm Beaches","West Palm Beach, FL","The Palm Beaches Chapter of Citizens' Climate Lobby. Support the Energy Innovation and Carbon Dividend Act, the bipartisan solution to reduce pollution.","http://citizensclimatelobby.org",FALSE,205,142,3,468,214,2017-12-16 21:06:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/942138860733124608/1513458742","","http://pbs.twimg.com/profile_images/1017263565307305985/GXJ8913y_normal.jpg"
"x89841906","x1059954066778812416",2018-11-06 23:41:57,"Dip_low_matik","A ballot question in Washington state could alter the national politics of climate change, @yayitsrob writes https://t.co/v8Ij1822q7","Twitter Web Client",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x35773039 x2400631","TheAtlantic yayitsrob","en",,,,,,,,,,,,,,,,"x1059702356198260736","A ballot question in Washington state could alter the national politics of climate change, @yayitsrob writes https://t.co/v8Ij1822q7",2018-11-06 07:01:44,"SocialFlow",63,35,"x35773039","TheAtlantic","The Atlantic",1843548,1050,175325,"Washington, D.C.","Politics, culture, business, science, technology, health, education, global affairs, more. For assistance, visit http://theatlantic.com/help",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Dip_low_matik/status/1059954066778812416","Lé<U+0E4F><U+0E20> H<U+0E04><U+026D><U+03C2><U+05E5><U+0E4F><U+0E20> <U+0001F1EB><U+0001F1F7> <U+0001F1FA><U+0001F1F8> <U+0001F1EA><U+0001F1FA>","collective lucid dream state","Framerican nebulous iridescent chrysalis, electronica paramour, free futurist, admirer of reason, nature & the unknown, cinéma fiend, scenarist spectre.",,FALSE,450,1846,41,20632,111306,2009-11-14 01:37:44,FALSE,,,,"https://pbs.twimg.com/profile_banners/89841906/1534035276","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1028587952039813120/kyMiwklb_normal.jpg"
"x709145426654420992","x1059953319777632257",2018-11-06 23:38:59,"RentonSocialist","The most important race in WA state tonight is not any of the congressional races, it is the carbon fee initiative I-1631. If passed, it would be the nation's first carbon fee and would serve as an example for the rest of the country. Oil companies have spent over $30 million.","Twitter for iPhone",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x469921287","WAProgressive","en",,,,,,,,,,,,,,,,"x1059889266459725824","The most important race in WA state tonight is not any of the congressional races, it is the carbon fee initiative I-1631. If passed, it would be the nation's first carbon fee and would serve as an example for the rest of the country. Oil companies have spent over $30 million.",2018-11-06 19:24:27,"Twitter Web Client",14,6,"x469921287","WAProgressive","The Purity Tester <U+0001F339>",4687,4733,35961,,"gay politics tweeter. environmentalist & urbanist. college student. democratic socialist.<U+0001F339><U+0001F339><U+0001F339>",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RentonSocialist/status/1059953319777632257","MedicareForAll","Seattle, WA","High School teacher, writer, passionate about social, racial, economic, and environmental justice, democratic socialist. #BlackLivesMatter #Vegan",,FALSE,1317,2569,8,20718,46358,2016-03-13 22:33:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/709145426654420992/1508654819","","http://pbs.twimg.com/profile_images/1134967019638407168/h-_ADmP5_normal.jpg"
"x477075421","x1059950957876768768",2018-11-06 23:29:35,"hometheaterboy","On this #ElectionDay, Initiative 1631 gives Washington State voters the chance to implement the first statewide carbon fee in the US https://t.co/eKtboBqAS8 #YesOn1631 https://t.co/CPG4fohqUs","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,"ElectionDay",,,,,,,,,,,,,"x16958346","ClimateReality","en",,,,,,,,,,,,,,,,"x1059899735887233024","On this #ElectionDay, Initiative 1631 gives Washington State voters the chance to implement the first statewide carbon fee in the US https://t.co/eKtboBqAS8 #YesOn1631 https://t.co/CPG4fohqUs",2018-11-06 20:06:03,"MeetEdgar",51,20,"x16958346","ClimateReality","Climate Reality",488932,3776,72421,"Washington, DC","Founded by @algore, we’re bringing the world together to stop climate change and create a healthy and prosperous future powered by clean energy.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hometheaterboy/status/1059950957876768768","Gene Ulmer",,,,FALSE,52,320,11,10557,264,2012-01-28 20:18:53,FALSE,,,,"https://pbs.twimg.com/profile_banners/477075421/1556150969","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1016029741915070464/Jqgk9Frt_normal.jpg"
"x950282164322496512","x1059949193425575937",2018-11-06 23:22:35,"solpolitical","Initiative 1631 will raise more than $1B annually by 2023 from fees on oil, gas and coal. To be invested in reducing greenhouse-gas emissions and adapting to climate change that has been spurred by the global use of fossil fuels. The time to #gotv is now 
https://t.co/Q3nYsbkJg2","Twitter for Android",,,,,FALSE,FALSE,0,0,0,0,,,"twitter.com/i/web/status/1…","https://t.co/wNkjikHE6U","https://twitter.com/i/web/status/1059949193425575937",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/solpolitical/status/1059949193425575937","Duncan Robert Smith","Vancouver, British Columbia","WAKE UP WORLD. The environment is being radically transformed by climate change. Now is the time for eco-justice activism. It’s not too late. Spread the word.",,FALSE,6,99,0,49,551,2018-01-08 08:24:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/950282164322496512/1541098060","","http://pbs.twimg.com/profile_images/1058067797752844289/EPIaa6wY_normal.jpg"
"x12859772","x1059949028803260416",2018-11-06 23:21:56,"ha_nah_nah","#YesOn1631 depends in part on WA voters realizing they already pay for climate change in small but costly ways ""through the increased power bills incurred by an AC window unit, through the hassle of terrible summer-air quality” |  @yayitsrob on adaptation https://t.co/ZiiXYt7QH5","TweetDeck",,,,,FALSE,FALSE,3,1,0,0,"YesOn1631",,"twitter.com/i/web/status/1…","https://t.co/M6ZlpRUcgj","https://twitter.com/i/web/status/1059949028803260416",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ha_nah_nah/status/1059949028803260416","Hannah Hess","Oakland, CA","Communicating #climate impacts for @Rhodium_Group & @impact_lab. Past: DC-based reporter @EENewsUpdates, @rollcall. Happiest on a yoga mat.",,FALSE,4852,1714,301,16829,2899,2008-01-30 03:32:00,TRUE,,,,"https://pbs.twimg.com/profile_banners/12859772/1559750834","http://abs.twimg.com/images/themes/theme8/bg.gif","http://pbs.twimg.com/profile_images/1158932240455258112/g3RzaPlV_normal.jpg"
"x87985449","x1059948043305451520",2018-11-06 23:18:01,"Conserve_WA","‘We believe Initiative 1631 is an opportunity to make meaningful change that protects people and supports a healthier future for all Washington residents.’ Thanks @SeattleFDN for supporting #YesOn1631 @YesOn1631 #WaElex 
https://t.co/2n5bt14DT0 https://t.co/tNNcAWQw7i","Sprout Social",140,,,,FALSE,FALSE,4,0,0,0,,,"twitter.com/i/web/status/1…","https://t.co/cxE3c06xAC","https://twitter.com/i/web/status/1059948043305451520",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Conserve_WA/status/1059948043305451520","NatureConservancy WA","Seattle","Conserving the lands and waters on which all life depends.","http://washingtonnature.org/twitter",FALSE,9026,1871,367,21531,3795,2009-11-06 17:13:16,FALSE,,,,"https://pbs.twimg.com/profile_banners/87985449/1570557906","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1145738101366517760/rAf4uZwI_normal.png"
"x87985449","x1059601197366042625",2018-11-06 00:19:46,"Conserve_WA","Hey. Hey you. Did you vote yet?
If YES-- this otter boop is for you. <U+0001F44F><U+0001F44F>
If NO-- there is still 2 days left. Click the link below to read about how initiative 1631 impacts our ocean. <U+0001F30E><U+0001F30A>
https://t.co/mFrdFlBFiu
#boopsforvotes #YesOn1631 https://t.co/8F2rFRL1aA","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x46970693","SeattleAquarium","en",,,,,,,,,,,,,,,,"x1059199894873927685","Hey. Hey you. Did you vote yet?
If YES-- this otter boop is for you. <U+0001F44F><U+0001F44F>
If NO-- there is still 2 days left. Click the link below to read about how initiative 1631 impacts our ocean. <U+0001F30E><U+0001F30A>
https://t.co/mFrdFlBFiu
#boopsforvotes #YesOn1631 https://t.co/8F2rFRL1aA",2018-11-04 21:45:08,"Hootsuite Inc.",270,89,"x46970693","SeattleAquarium","Seattle Aquarium",20138,1065,8317,"Seattle, WA","THE Seattle Aquarium. 
Mission: To inspire conservation of our marine environment. Motivation: A healthy future.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Conserve_WA/status/1059601197366042625","NatureConservancy WA","Seattle","Conserving the lands and waters on which all life depends.","http://washingtonnature.org/twitter",FALSE,9026,1871,367,21531,3795,2009-11-06 17:13:16,FALSE,,,,"https://pbs.twimg.com/profile_banners/87985449/1570557906","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1145738101366517760/rAf4uZwI_normal.png"
"x87985449","x1059601162180079616",2018-11-06 00:19:38,"Conserve_WA","15 local #WeAreStillIn businesses in Washington are endorsing a ballot initiative that, if passed, would make the Evergreen state the first in the nation to have a statewide price on carbon. Are you with them on fighting for climate action? https://t.co/GE5M2wzJkY #YesOn1631 https://t.co/mw7n2Jexko","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,"WeAreStillIn",,,,,,,,,,,,,"x872132381343457280","wearestillin","en",,,,,,,,,,,,,,,,"x1059547555472777217","15 local #WeAreStillIn businesses in Washington are endorsing a ballot initiative that, if passed, would make the Evergreen state the first in the nation to have a statewide price on carbon. Are you with them on fighting for climate action? https://t.co/GE5M2wzJkY #YesOn1631 https://t.co/mw7n2Jexko",2018-11-05 20:46:37,"Twitter Web Client",35,23,"x872132381343457280","wearestillin","We Are Still In",5697,1472,798,"All 50 States","America is still in on fighting climate change. Are you? Over 3,800 leaders from all 50 states have taken up the mantle of leadership. #WeAreStillIn.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Conserve_WA/status/1059601162180079616","NatureConservancy WA","Seattle","Conserving the lands and waters on which all life depends.","http://washingtonnature.org/twitter",FALSE,9026,1871,367,21531,3795,2009-11-06 17:13:16,FALSE,,,,"https://pbs.twimg.com/profile_banners/87985449/1570557906","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1145738101366517760/rAf4uZwI_normal.png"
